ID	name	seeds	seed_prop
159	MAR2-3	16638.0	0.004425306005202487
265	PYL-6	18000.0	0.004787565097586535
763	Kar-1	10119.0	0.002691409512359897
765	Sus-1	16582.0	0.0044104113582322186
766	Dja-1	16638.0	0.004425306005202487
768	Zal-1	17164.0	0.004565209296387516
772	Neo-6	17120.0	0.004553506359482305
5151	UKSE06-325	16389.0	0.00435907802135254
5165	UKSE06-362	17563.0	0.004671333656050684
5768	UKID63	17037.0	0.004531430364865655
5772	Set-1	16942.0	0.0045061626601839485
5784	Ty-1	16677.0	0.004435679062913925
5811	UKID107	17690.0	0.004705112587572545
6013	Eden-9	16533.0	0.004397378542133233
6025	Gro-3	12639.0	0.003361668626022012
6040	Kni-1	16926.0	0.004501907046763872
6073	OMo1-7	9000.0	0.0023937825487932675
6074	Or-1	11625.0	0.0030919691255246375
6108	T480	16854.0	0.004482756786373526
6150	T980	16056.0	0.004270508067047189
6177	TAL	18765.0	0.004991036614233963
6180	TAL 07	16577.0	0.004409081479038444
6184	TBO	16688.0	0.004438604797140228
6188	TDr-1	16522.0	0.00439445280790693
6195	TDr-9	17170.0	0.004566805151420045
6209	TEDEN	16632.0	0.004423710150169959
6216	TFA	16854.0	0.004482756786373526
6243	Tottarp-2	16909.0	0.00449738545750504
6244	TRA 01	17535.0	0.00466388633256555
6898	An-1	16837.0	0.004478235197114694
6911	Cvi-0	16610.0	0.004417858681717353
6915	Ei-2	16821.0	0.004473979583694617
6929	Kondara	16621.0	0.004420784415943656
6932	Ler-1	10606.0	0.0028209397458334885
6938	Ms-0	16527.0	0.004395782687100704
6939	Mt-0	16976.0	0.004515205838701612
6940	Mz-0	17618.0	0.004685962327182199
6945	Nok-3	16666.0	0.004432753328687622
6958	Ra-0	16782.0	0.00446360652598318
6961	Se-0	16765.0	0.004459084936724348
6963	Sorbo	16787.0	0.004464936405176954
6979	Wei-0	16715.0	0.004445786144786607
6987	Ak-1	16804.0	0.004469457994435785
7000	Aa-0	11553.0	0.003072818865134291
7002	Baa-1	16677.0	0.004435679062913925
7003	Bs-1	16776.0	0.004462010670950651
7008	Benk-1	16721.0	0.004447381999819137
7013	Bd-0	16704.0	0.004442860410560304
7025	Bl-1	16976.0	0.004515205838701612
7028	Bch-1	16405.0	0.004363333634772617
7031	Bsch-0	16732.0	0.00445030773404544
7036	Bu-0	16893.0	0.004493129844084964
7062	Ca-0	16710.0	0.004444456265592834
7063	Can-0	16494.0	0.0043870054844217955
7067	Ct-1	16516.0	0.004392856952874401
7071	Chat-1	17696.0	0.004706708442605074
7077	Co-1	16699.0	0.004441530531366531
7092	Com-1	17114.0	0.0045519105044497755
7103	Dra-0	16710.0	0.004444456265592834
7106	Dr-0	17380.0	0.004622660077558555
7125	Er-0	17075.0	0.004541537446738338
7126	Es-0	17746.0	0.004720007234542814
7127	Est	16527.0	0.004395782687100704
7143	Gel-1	17524.0	0.004660960598339247
7164	Hau-0	11559.0	0.00307441472016682
7165	Hn-0	16339.0	0.0043457792294148
7186	Kn-0	19258.0	0.005122162702740083
7203	Krot-0	16782.0	0.00446360652598318
7209	La-0	16798.0	0.004467862139403257
7217	Lm-2	16677.0	0.004435679062913925
7218	Le-0	16987.0	0.004518131572927915
7244	Mnz-0	16594.0	0.004413603068297276
7255	Mh-0	16726.0	0.00444871187901291
7268	Np-0	16671.0	0.004434083207881396
7273	No-0	17485.0	0.004650587540627809
7276	Ob-0	16948.0	0.004507758515216478
7282	Or-0	16942.0	0.0045061626601839485
7287	Ove-0	16787.0	0.004464936405176954
7288	Oy-0	17070.0	0.004540207567544564
7296	Petergof	17031.0	0.004529834509833127
7298	Pi-0	16710.0	0.004444456265592834
7316	Rhen-1	17291.0	0.004598988227909376
7323	Rubezhnoe-1	17391.0	0.004625585811784858
7333	Sei-0	14638.0	0.0038933543276928723
7346	Ste-0	17790.0	0.004731710171448026
7347	Stw-0	17136.0	0.0045577619729023815
7353	Tha-1	16920.0	0.004500311191731343
7372	Tscha-1	16400.0	0.004362003755578843
7378	Uk-1	16743.0	0.004453233468271743
7384	Ven-1	16610.0	0.004417858681717353
7394	Wa-1	16599.0	0.00441493294749105
7404	Wc-1	17297.0	0.0046005840829419055
7411	Wl-0	16760.0	0.004457755057530574
7521	Lp2-6	16898.0	0.004494459723278737
8214	Gy-0	16666.0	0.004432753328687622
8230	Algutsrum	16859.0	0.0044840866655673
8231	Bro1-6	16488.0	0.004385409629389266
8240	Kulturen-1	16787.0	0.004464936405176954
8247	San-2	17978.0	0.00478171362913393
8249	Vimmerby	17264.0	0.0045918068802629965
8311	In-0	16965.0	0.004512280104475309
8312	Is-0	16555.0	0.004403230010585839
8351	Ost-0	16887.0	0.004491533989052434
8354	Per-1	16810.0	0.004471053849468314
8357	Pla-0	16898.0	0.004494459723278737
8376	Sanna-2	16699.0	0.004441530531366531
8387	St-0	17823.0	0.004740487374126934
9057	Vinslov	16438.0	0.004372110837451526
9058	Vastervik	16771.0	0.004460680791756877
9323	Adal 3	11493.0	0.003056860314809003
9371	FaL	16090.0	0.004279551245564853
9394	Hag-2	16372.0	0.004354556432093709
9416	Kru-3	16222.0	0.004314660056280488
9427	Nas	16704.0	0.004442860410560304
9470	Tur-4	16666.0	0.004432753328687622
9481	Yst-1	16594.0	0.004413603068297276
9506	IP-Alo-0	16555.0	0.004403230010585839
9507	IP-Coa-0	16677.0	0.004435679062913925
9510	IP-Rei-0	16660.0	0.004431157473655093
9512	IP-Vid-1	16638.0	0.004425306005202487
9517	IP-All-0	18205.0	0.004842090144531271
9518	IP-Alm-0	16893.0	0.004493129844084964
9521	IP-Bar-1	16782.0	0.00446360652598318
9522	IP-Bea-0	16666.0	0.004432753328687622
9523	IP-Ben-0	16837.0	0.004478235197114694
9524	IP-Ber-0	17369.0	0.004619734343332252
9526	IP-Cab-3	16582.0	0.0044104113582322186
9527	IP-Cad-0	16732.0	0.00445030773404544
9528	IP-Cal-0	16732.0	0.00445030773404544
9529	IP-Cap-1	16887.0	0.004491533989052434
9534	IP-Cmo-3	16948.0	0.004507758515216478
9535	IP-Coc-1	16904.0	0.004496055578311267
9537	IP-Cum-1	16699.0	0.004441530531366531
9539	IP-Deh-1	16571.0	0.0044074856240059156
9542	IP-Fun-0	22060.0	0.0058674270029310535
9544	IP-Gua-1	16599.0	0.00441493294749105
9547	IP-Hor-0	16516.0	0.004392856952874401
9548	IP-Hoy-0	16594.0	0.004413603068297276
9549	IP-Hum-2	16704.0	0.004442860410560304
9555	IP-Mar-1	18000.0	0.004787565097586535
9557	IP-Moa-0	18659.0	0.004962843175325953
9559	IP-Mon-5	18167.0	0.004831983062658588
9560	IP-Mot-0	16594.0	0.004413603068297276
9562	IP-Mur-0	16522.0	0.00439445280790693
9564	IP-Nog-17	16732.0	0.00445030773404544
9565	IP-Orb-10	16283.0	0.004330884582444531
9574	IP-Rel-0	16704.0	0.004442860410560304
9577	IP-Ria-0	16571.0	0.0044074856240059156
9579	IP-San-10	16859.0	0.0044840866655673
9584	IP-Stp-0	16499.0	0.004388335363615569
9586	IP-Tam-0	11736.0	0.0031214924436264208
9587	IP-Tdc-0	19014.0	0.00505726459808391
9591	IP-Vad-0	16743.0	0.004453233468271743
9594	IP-Vdm-0	16904.0	0.004496055578311267
9595	IP-Vdt-0	16361.0	0.004351630697867406
9596	IP-Ver-5	16776.0	0.004462010670950651
9597	IP-Vig-1	16749.0	0.004454829323304271
9598	IP-Vim-0	16643.0	0.004426635884396261
9600	IP-Vis-0	16710.0	0.004444456265592834
