founder	side	frac	h_filt2	h_hf	err
10002	cactus	0.02649228705566734	0.01296903921256304	0.006943	0.00602603921256304
10006	cactus	0.032649868480931155	0.0018359547318836514	0.003456	-0.0016200452681163484
159	cactus	0.01895915357084502	0.004996305053129875	0.003859	0.001137305053129875
5784	cactus	0.026760803146643253	0.0028624154176675335	0.003236	-0.0003735845823324667
5811	cactus	0.021990214229039937	0.005732117969772352	0.003145	0.002587117969772352
6150	cactus	0.02408271391046778	0.0032672774590704126	0.002833	0.0004342774590704126
6184	cactus	0.022743090438176773	0.012696638499764445	0.004632	0.008064638499764444
6244	cactus	0.022959416304483515	0.009392989164112305	0.005027	0.004365989164112304
6898	cactus	0.020232559481354807	0.00280199352943762	0.003124	-0.00032200647056238
6911	cactus	0.051351768959590746	0.0022831522583387485	0.004329	-0.002045847741661252
6915	cactus	0.021353284507198964	0.0035938913973439647	0.002337	0.0012568913973439646
6929	cactus	0.011552183773890208	0.002166694313286524	0.004302	-0.002135305686713476
6932	cactus	0.03636592540732416	0.009868551403852259	0.00848	0.001388551403852259
6938	cactus	0.029154964861622036	0.010762919215573584	0.005317	0.005445919215573585
6939	cactus	0.022816135600682404	0.00489675550445985	0.002887	0.00200975550445985
6945	cactus	0.024730769383567056	0.0057648292824962295	0.003595	0.0021698292824962294
6958	cactus	0.02363365150852332	0.009902729084161477	0.005909	0.003993729084161477
6963	cactus	0.019776225785371172	0.005705096107400239	0.004391	0.0013140961074002387
6979	cactus	0.027983493525200416	0.003966917802188173	0.00393	3.6917802188172685e-05
7000	cactus	0.025164909512424137	0.009711605834392633	0.00431	0.005401605834392633
7002	cactus	0.020688930663125698	0.007399619126884077	0.005695	0.0017046191268840763
7003	cactus	0.023155962867093725	0.008862769457971252	0.00362	0.0052427694579712525
7025	cactus	0.026619477518565453	0.00830026638188528	0.0044	0.003900266381885279
7063	cactus	0.03819191516049946	0.0015968790734658023	0.001992	-0.00039512092653419756
7092	cactus	0.023506739959586093	0.005778129036260898	0.003557	0.002221129036260898
7127	cactus	0.0346712918181515	0.005204455675755371	0.004246	0.0009584556757553713
7143	cactus	0.02211835037866757	0.010660005263663137	0.004785	0.0058750052636631364
7164	cactus	0.07477406208797795	0.0008245679696009102	0.002083	-0.00125843203039909
7186	cactus	0.03189274882513979	0.011004758574092737	0.008514	0.002490758574092736
7217	cactus	0.02280083521562104	0.00756490096579838	0.003365	0.00419990096579838
7255	cactus	0.0266889295040547	0.006993629952187987	0.005234	0.0017596299521879868
7288	cactus	0.025012751486424352	0.007974811009045938	0.00335	0.004624811009045937
7298	cactus	0.03160859003284157	0.006214161284155934	0.003153	0.003061161284155934
7316	cactus	0.021620564553602378	0.006811704445367911	0.003227	0.003584704445367911
7323	cactus	0.02648802648802649	0.004793996617778337	0.005016	-0.00022200338222166244
7346	cactus	0.025310771119902088	0.0035794028101574556	0.002845	0.0007344028101574558
7347	cactus	0.03277641819344313	0.0027704023650867307	0.003455	-0.0006845976349132694
7372	cactus	0.02641062492393382	0.002665735896692499	0.002951	-0.0002852641033075009
7378	cactus	0.02498104568100694	0.005591235854178699	0.003326	0.002265235854178699
7411	cactus	0.02612714256638969	0.007104466200614604	0.005225	0.0018794662006146046
763	cactus	0.025722541709363358	0.009123448543314079	0.005289	0.0038344485433140785
765	cactus	0.02660591494204728	0.008253784997435096	0.004009	0.004244784997435096
766	cactus	0.020534045241212148	0.0035407689835770624	0.004413	-0.0008722310164229379
768	cactus	0.01750978657258091	0.003506865344971233	0.005378	-0.001871134655028767
772	cactus	0.017223457591838253	0.01148980074755844	0.006149	0.00534080074755844
8214	cactus	0.01931840529941348	0.00744788259731365	0.004264	0.00318388259731365
8230	cactus	0.028391899124711885	0.004365945805390686	0.004375	-9.054194609314434e-06
8231	cactus	0.025619401870741857	0.002706397445613435	0.002536	0.00017039744561343512
8247	cactus	0.019726024460091654	0.001690913678374285	0.002491	-0.0008000863216257152
8249	cactus	0.02824555515284071	0.014641354842353344	0.010209	0.0044323548423533445
8351	cactus	0.01619240153610675	0.007764613804795299	0.004164	0.003600613804795299
8354	cactus	0.03480879110872965	0.006202008919953121	0.003508	0.002694008919953121
8387	cactus	0.02076466223812312	0.005693536064432279	0.002368	0.003325536064432279
9416	cactus	0.02388621808082352	0.002698573869303075	0.00217	0.0005285738693030749
9470	cactus	0.028948507502529378	0.011354235553238026	0.005038	0.006316235553238026
9506	cactus	0.032989092022275145	0.0051815162664225365	0.003529	0.0016525162664225365
9518	cactus	0.05276994802333935	0.0026301619308308362	0.001949	0.0006811619308308362
9537	cactus	0.028110024981708642	0.01142952181736241	0.003687	0.00774252181736241
9542	cactus	0.07355623627669382	0.003450074218272888	0.002101	0.001349074218272888
9549	cactus	0.08024699964245317	0.004976926090465037	0.001687	0.003289926090465037
9555	cactus	0.06386211241867744	0.003700170916648207	0.002308	0.0013921709166482069
9557	cactus	0.03185066181760404	0.013916105919055122	0.00623	0.0076861059190551214
9559	cactus	0.02868580995992618	0.008599355077869361	0.005165	0.003434355077869361
9564	cactus	0.03196400990333877	0.007859353071738878	0.002848	0.005011353071738878
9565	cactus	0.029370067153117	0.00970457341671279	0.004698	0.00500657341671279
9594	cactus	0.03190145140297577	0.003716621102263821	0.002129	0.001587621102263821
9600	cactus	0.05939619074730977	0.0014997740140429193	0.002159	-0.0006592259859570806
9606	cactus	0.07972622215570822	0.0018119547788303925	0.003165	-0.0013530452211696074
9637	cactus	0.021837237934859647	0.008994048705243243	0.004091	0.004903048705243243
9653	cactus	0.03653077195443464	0.014382855052119885	0.009025	0.005357855052119885
9758	cactus	0.04234828268764144	0.011236300297558779	0.006892	0.004344300297558779
9759	cactus	0.04109844854067196	0.006572943574021414	0.002572	0.004000943574021414
9764	cactus	0.09245528698506461	0.004959260295900062	0.001811	0.003148260295900062
9837	cactus	0.05738334977643209	0.0019619302128154885	0.001785	0.0001769302128154886
9879	cactus	0.059693792173803	0.005301347229450125	0.004334	0.000967347229450125
9910	cactus	0.02183402619834237	0.004795890928142634	0.002657	0.0021388909281426336
9940	cactus	0.07619260299517687	0.004202801817725765	0.001623	0.0025798018177257643
9992	cactus	0.03139149346603745	0.008560201340393753	0.002051	0.006509201340393753
100001	PG	0.053368539796382265	6.115984505140272e-05	0.001198	-0.0011368401549485974
100002	PG	0.055738160641170015	6.740208635513678e-05	0.001339	-0.001271597913644863
10011	PG	0.0164017939177818	0.0035310075575663534	0.007318	-0.0037869924424336465
10013	PG	0.01784686510034767	6.461898376191969e-13	0.006124	-0.00612399999935381
10014	PG	0.03609869530470739	0.0027706668607324833	0.004317	-0.0015463331392675164
265	PG	0.021926747453909122	0.0035506947880436708	0.002875	0.0006756947880436708
5151	PG	0.013705923768090742	0.0010719677902783868	0.003146	-0.0020740322097216133
5165	PG	0.014336239609157869	0.00806618214745831	0.006075	0.0019911821474583096
5768	PG	0.01240007707080292	0.005344463279337188	0.005846	-0.0005015367206628119
6013	PG	0.012350989779128716	0.003290828980245398	0.00507	-0.001779171019754602
6025	PG	0.011058161218562634	0.0020036832719365007	0.003852	-0.0018483167280634993
6040	PG	0.016556702305618946	0.0013515147749564504	0.002919	-0.0015674852250435497
6073	PG	0.014097302193239448	0.005425957740555181	0.004012	0.001413957740555181
6074	PG	0.014801508514281513	0.0006918702596547694	0.003797	-0.0031051297403452307
6108	PG	0.015191099443077982	0.000836441460863847	0.004391	-0.003554558539136153
6177	PG	0.012429584630749195	0.0012898927610170033	0.003934	-0.0026441072389829967
6180	PG	0.03266026393066132	0.0028268796360364193	0.017023	-0.014196120363963581
6188	PG	0.012148858575554353	0.0006445393924902138	0.003909	-0.0032644606075097862
6195	PG	0.010518444620873396	0.0016626975110594893	0.003132	-0.0014693024889405105
6209	PG	0.011687200294432633	0.0028843003368774706	0.00324	-0.00035569966312252923
6216	PG	0.010306405556653494	0.001067197439012545	0.002453	-0.0013858025609874548
