panel	chrom	size_class	n_alts
pang_135	Chr1	SNP	983430
pang_135	Chr1	small_indel	709079
pang_135	Chr1	small_sv	100889
pang_135	Chr1	medium_sv	116244
pang_135	Chr1	large_sv	33110
pang_135	Chr2	SNP	633304
pang_135	Chr2	small_indel	463367
pang_135	Chr2	small_sv	69961
pang_135	Chr2	medium_sv	85711
pang_135	Chr2	large_sv	23613
pang_135	Chr3	SNP	756369
pang_135	Chr3	small_indel	539777
pang_135	Chr3	small_sv	76822
pang_135	Chr3	medium_sv	84037
pang_135	Chr3	large_sv	21680
pang_135	Chr4	SNP	635634
pang_135	Chr4	small_indel	459604
pang_135	Chr4	small_sv	65906
pang_135	Chr4	medium_sv	74840
pang_135	Chr4	large_sv	20735
pang_135	Chr5	SNP	892328
pang_135	Chr5	small_indel	632805
pang_135	Chr5	small_sv	83963
pang_135	Chr5	medium_sv	99368
pang_135	Chr5	large_sv	30982
