filter,method,regime,var_class,n_records,MAE,RMSE,R2,slope,|err|>0.10 frac
all,global,n231_g0,SNP,1482600.0,0.004758398093637325,0.0076605791943913076,0.9986823395885195,1.0009943780017583,0.0
all,global,n231_g0,indel,509892.0,0.004782196690305987,0.007516033048426537,0.9984289874117231,0.9997748396080667,0.0
all,global,n231_g0,SV,56159.0,0.0026888433234316853,0.005032245959392347,0.9978724981542234,1.0010198724267667,0.0
all,global,n231_g1,SNP,1482600.0,0.007083488425982597,0.012630577116428983,0.99630902978801,0.9979670962545396,0.0009092135437744502
all,global,n231_g1,indel,509892.0,0.007059695326800577,0.012281553295936401,0.9956624708029842,0.9969735099719257,0.0007884022498882116
all,global,n231_g1,SV,56159.0,0.0046638849087822076,0.010880769467839073,0.9902150084958287,0.9926085832547155,0.001104008262255382
all,global,n50_g0,SNP,1480165.0,0.004844872160265914,0.008062689091534968,0.998615711868641,1.0028815091515522,1.080960568585259e-05
all,global,n50_g0,indel,509301.0,0.004768971473331094,0.007929633520188595,0.9983588340215664,1.0029417565014018,1.963475430050206e-06
all,global,n50_g0,SV,56075.0,0.0025480142914132854,0.004859494180624267,0.9981500183386137,1.002463069253461,0.0
all,global,n50_g1,SNP,1479935.0,0.011625726902015965,0.019704977794965932,0.991658323050201,0.9926299795808978,0.001399385783835101
all,global,n50_g1,indel,509204.0,0.011691909922960151,0.019801219730428744,0.9897240283172153,0.9905934116018879,0.0014080800622147509
all,global,n50_g1,SV,56062.0,0.006823770898968998,0.014258234500847318,0.9847529430179783,0.9817999254453278,0.0008383575327316186
all,global,n50_g3,SNP,1476091.0,0.027261122530878514,0.048980460254642165,0.9512865187486205,0.9567578463697972,0.07115889196533276
all,global,n50_g3,indel,508229.0,0.027580567845506648,0.049631669473550306,0.9405995250283835,0.9446986078573449,0.07380334455530872
all,global,n50_g3,SV,55914.0,0.014777745940569449,0.03294643623160517,0.9235474260118648,0.9339949875963668,0.0259147977250778
all,global,n50_g3_dom500,SNP,1473066.0,0.04665396935954463,0.0874988466468762,0.8627525513996057,0.9866007787770474,0.17132701453974228
all,global,n50_g3_dom500,indel,507328.0,0.04676753761801044,0.08768981395730248,0.8395844151702996,0.982757457854241,0.17261219566040117
all,global,n50_g3_dom500,SV,55610.0,0.024914027821812623,0.06077593811824715,0.7896998861467556,0.9863134464940768,0.07816939399388599
all,star2,n231_g0,SNP,1482600.0,0.008753250079891743,0.015396210693113768,0.9946075806214726,0.9953407627321982,0.0013806825846485902
