site,generation,af,bio1,n,cov
1,0,0.026148750000000002,10.7439056875,,
2,0,0.026148750000000002,15.59462670375,,
4,0,0.026148750000000002,17.5134744333333,,
5,0,0.026148750000000002,14.99635534775,,
6,0,0.026148750000000002,14.9890791533333,,
9,0,0.026148750000000002,12.4816687833333,,
10,0,0.026148750000000002,20.5509234475,,
11,0,0.026148750000000002,13.8013959575,,
12,0,0.026148750000000002,12.9571620166667,,
13,0,0.026148750000000002,20.4127104883333,,
23,0,0.026148750000000002,7.290877075,,
24,0,0.026148750000000002,6.00886075833333,,
25,0,0.026148750000000002,11.3935151425,,
26,0,0.026148750000000002,21.6033558083333,,
27,0,0.026148750000000002,7.42514504583333,,
28,0,0.026148750000000002,16.8683085291667,,
32,0,0.026148750000000002,17.8151688958333,,
37,0,0.026148750000000002,8.130012135,,
42,0,0.026148750000000002,10.927050325,,
43,0,0.026148750000000002,18.0009508,,
45,0,0.026148750000000002,15.65428636375,,
46,0,0.026148750000000002,11.2770271166667,,
48,0,0.026148750000000002,8.50676815416667,,
49,0,0.026148750000000002,11.7212804541667,,
52,0,0.026148750000000002,12.0052842,,
53,0,0.026148750000000002,12.3622173525,,
54,0,0.026148750000000002,12.4401688625,,
55,0,0.026148750000000002,11.5645014791667,,
57,0,0.026148750000000002,12.27648105125,,
60,0,0.026148750000000002,19.2480514166667,,
33,0,0.026148750000000002,12.1987028595833,,
1,1,0.020934073254466057,10.7439056875,46.0,8.61628452173913
2,1,0.07408443838357925,15.59462670375,12.0,4.391998
4,1,0.061649322509765625,17.5134744333333,24.0,7.6965532083333335
5,1,0.011665219441056252,14.99635534775,23.0,5.9057003913043475
6,1,0.032461222261190414,14.9890791533333,34.0,5.064422911764706
9,1,0.048888396471738815,12.4816687833333,45.0,6.6965842
10,1,0.14493213593959808,20.5509234475,28.0,8.053543785714286
11,1,0.033645421266555786,13.8013959575,16.0,2.75672875
12,1,0.02527245692908764,12.9571620166667,33.0,7.359474484848485
13,1,0.10819066315889359,20.4127104883333,19.0,9.582614052631579
23,1,0.032111987471580505,7.290877075,36.0,5.711690361111112
24,1,0.054384272545576096,6.00886075833333,24.0,9.261237125
25,1,0.028870709240436554,11.3935151425,30.0,8.237830466666667
26,1,0.08125236630439758,21.6033558083333,16.0,7.2284281875
27,1,0.029798805713653564,7.42514504583333,8.0,4.90863325
28,1,0.0559670589864254,16.8683085291667,7.0,2.6472601428571427
32,1,0.04729516804218292,17.8151688958333,36.0,6.8719526944444445
37,1,0.02773159369826317,8.130012135,19.0,8.059983210526315
42,1,0.06828757375478745,10.927050325,24.0,7.311469875
43,1,0.040352459996938705,18.0009508,45.0,8.065492955555555
45,1,0.05038593336939812,15.65428636375,27.0,5.35770462962963
46,1,0.03062748908996582,11.2770271166667,48.0,9.433762791666666
48,1,0.03187370300292969,8.50676815416667,5.0,6.22472
49,1,0.030952682718634605,11.7212804541667,24.0,5.7753054583333325
52,1,0.02172284945845604,12.0052842,17.0,5.291732588235294
53,1,0.019820071756839752,12.3622173525,27.0,6.468596259259259
54,1,0.03434669226408005,12.4401688625,59.0,7.471386305084746
55,1,0.015134354121983051,11.5645014791667,24.0,6.8666354583333336
57,1,0.0584983304142952,12.27648105125,113.0,6.834889159292036
60,1,0.09549901634454727,19.2480514166667,23.0,4.593876391304348
1,2,0.0200345478951931,10.7439056875,57.0,7.09211449122807
2,2,0.204345703125,15.59462670375,3.0,6.576163
4,2,0.04141419753432274,17.5134744333333,22.0,5.925942181818181
5,2,0.08193159103393555,14.99635534775,12.0,9.468872666666668
6,2,0.024101877585053444,14.9890791533333,20.0,5.8032179
9,2,0.009741033427417278,12.4816687833333,7.0,5.324883285714286
10,2,0.0015500386944040656,20.5509234475,12.0,7.704362333333333
11,2,0.06717300415039062,13.8013959575,6.0,6.541664
12,2,0.003540515899658203,12.9571620166667,10.0,7.7855536999999995
