source	source_key	chrom	class1	class2	bin_lo	bin_hi	bin_mid	n	median_r2	q25_r2	q75_r2	mean_r2
GrENE-Net 231 (SNP-only catalog)	grenenet_snp	1	SNP	SNP	144.5439770745928	251.18864315095797	190.54607179632472	2327	0.4195609986782074	0.03774549998342991	0.9604785144329071	0.48429378867149353
GrENE-Net 231 (SNP-only catalog)	grenenet_snp	1	SNP	SNP	758.5775750291835	1318.2567385564075	1000.0	10028	0.1268550008535385	0.024776000529527664	0.6784049868583679	0.3348281681537628
GrENE-Net 231 (SNP-only catalog)	grenenet_snp	1	SNP	SNP	1318.2567385564075	2290.8676527677726	1737.8008287493756	16025	0.08602900058031082	0.020075999200344086	0.4952160120010376	0.2809353768825531
GrENE-Net 231 (SNP-only catalog)	grenenet_snp	1	SNP	SNP	2290.8676527677726	3981.071705534969	3019.9517204020144	26188	0.0612965002655983	0.016644999384880066	0.2986139953136444	0.22173868119716644
GrENE-Net 231 (SNP-only catalog)	grenenet_snp	1	SNP	SNP	3981.071705534969	6918.309709189362	5248.0746024977225	43164	0.04182799905538559	0.01222699973732233	0.19677600264549255	0.1723107546567917
GrENE-Net 231 (SNP-only catalog)	grenenet_snp	1	SNP	SNP	6918.309709189362	12022.644346174131	9120.108393559096	71640	0.030546000227332115	0.009479000233113766	0.12131724879145622	0.1208735853433609
GrENE-Net 231 (SNP-only catalog)	grenenet_snp	1	SNP	SNP	12022.644346174131	20892.96130854041	15848.93192461114	123000	0.024434000253677368	0.007830999791622162	0.07879000157117844	0.0821664109826088
GrENE-Net 231 (SNP-only catalog)	grenenet_snp	1	SNP	SNP	20892.96130854041	36307.8054770101	27542.28703338166	199488	0.01802399940788746	0.006016999948769808	0.05369900166988373	0.05537174269556999
GrENE-Net 231 (SNP-only catalog)	grenenet_snp	1	SNP	SNP	36307.8054770101	63095.7344480193	47863.0092322638	336170	0.014387999661266804	0.004786999896168709	0.04295924957841635	0.04196680337190628
GrENE-Net 231 (SNP-only catalog)	grenenet_snp	1	SNP	SNP	63095.7344480193	109647.8196143185	83176.37711026709	571158	0.011597000062465668	0.00380500010214746	0.03200199827551842	0.03192092478275299
